Date, Quantity (000's), Total Value (Lacs)
2007-12-28, 34760, 368246.32
2007-12-29, 1198, 12768.03
2007-12-31, 31408, 334442.25
2008-01-01, 2373, 25179.11
2008-01-02, 62440, 672475.53
2008-01-03, 70043, 765434.48
2008-01-04, 60361, 659537.8
2008-01-05, 1207, 13168.12
2008-01-07, 45115, 491203.8
2008-01-08, 60221, 663394.42
2008-01-09, 66063, 735868.58
2008-01-10, 66011, 733763.99
2008-01-11, 54688, 616609.09
2008-01-12, 1960, 22185.53
2008-01-14, 68024, 777378.13
2008-01-15, 68232, 780478.5
2008-01-16, 92543, 1038641.21
2008-01-17, 61835, 692634.45
2008-01-18, 55438, 617841.55
2008-01-19, 1370, 15337.1
2008-01-21, 39514, 438276.19
2008-01-22, 92223, 1021948.23
2008-01-23, 73830, 833680.03
2008-01-24, 68895, 786623.94
2008-01-25, 71412, 827386.35
2008-01-28, 55747, 650434.2
2008-01-29, 68792, 807339.3
2008-01-30, 45501, 531966.39
2008-01-31, 64832, 760333.76
2008-02-01, 78771, 921536.22
2008-02-02, 2562, 29560.1
2008-02-04, 63105, 723638.37
2008-02-05, 70595, 803530.71
2008-02-06, 62963, 720720.02
2008-02-07, 69876, 805200.73
2008-02-08, 53306, 620289.75
2008-02-09, 2502, 29346.2
2008-02-11, 46559, 547682.89
2008-02-12, 58327, 681895.46
2008-02-13, 58253, 672031.26
2008-02-14, 46279, 536837.62
2008-02-15, 48035, 557587.31
2008-02-16,1706, 19703.8
2008-02-18, 17715, 204813.54
2008-02-19, 59303, 696929.47
2008-02-20, 58363, 691752.07
2008-02-21, 55931, 675826.37
2008-02-22, 49321, 595317.16
2008-02-23,1446, 17495.5
2008-02-25, 53409, 645475.71
2008-02-26, 54585, 655214.09
2008-02-27, 55660, 680659.67
2008-02-28, 45047, 551866.79
2008-02-29, 46462, 574801.35
2008-03-01,1695, 21065.83
2008-03-03, 45643, 575145.61
2008-03-04, 49313, 620520.28
2008-03-05, 70112, 880929.27
2008-03-06, 62067, 789255.7
2008-03-07, 53367, 677900.23
2008-03-08,1408, 17852.18
2008-03-10, 48237, 609274.5
2008-03-11, 54867, 695991.37
2008-03-12, 43930, 556641.7
2008-03-13, 54972, 707440.27
2008-03-14, 49449, 639913.86
2008-03-15,3044, 39682.45
2008-03-17, 66693, 883535.95
2008-03-18, 44050, 577196.24
2008-03-19, 73406, 929637.38
2008-03-20, 61185, 737874.26
2008-03-24, 49299, 589700.56
2008-03-25, 41473, 500008.09
2008-03-26, 44271, 541784.97
2008-03-27, 41142, 504970.59
2008-03-28, 46337, 560148.54
2008-03-29,2520, 30263.71
2008-03-31, 51212, 616976.17
2008-04-01, 53542, 623072.53
2008-04-02, 39121, 451906.94
2008-04-03, 42556, 496338.26
2008-04-04, 29473, 345710.33
2008-04-05,1347, 15939.63
2008-04-07, 30041, 357562.87
2008-04-08, 35466, 420391.1
2008-04-09, 46419, 550440.73
2008-04-10, 44037, 529890.56
2008-04-11, 37126, 443445.35
2008-04-12,1324, 15854.19
2008-04-14, 15799, 189269.81
2008-04-15, 30071, 361716.97
2008-04-16, 38236, 463708.96
2008-04-17, 35523, 433301.36
2008-04-18, 35632, 421800.5
2008-04-19,1897, 22490.96
2008-04-21, 40796, 484285.89
2008-04-22, 33238, 394827.22
2008-04-23, 42126, 496070.3
2008-04-24, 48928, 570263.86
2008-04-25, 42536, 491532.81
2008-04-26,1215, 14032.58
2008-04-28, 25636, 297597.67
2008-04-29, 35997, 415413.65
2008-04-30, 41787, 476771.89
2008-05-01, 30054, 338209.97
2008-05-02, 37711, 424004.39
2008-05-03,1197, 13535.35
2008-05-05, 22804, 259969.7
2008-05-06, 30699, 355047.69
2008-05-07, 27678, 320973.32
2008-05-08, 35640, 419120.23
2008-05-09, 41039, 485872.68
2008-05-10,1337, 15904.93
2008-05-12, 31919, 380783.88
2008-05-13, 39015, 462228.94
2008-05-14, 33320, 394948.97
2008-05-15, 50519, 605682.96
2008-05-16, 48084, 587237.06
2008-05-17,2567, 31689.92
2008-05-19, 22395, 277420.79
2008-05-20, 40506, 505998.87
2008-05-21, 44312, 563142.52
2008-05-22, 52993, 680307.21
2008-05-23, 33472, 426284.84
2008-05-24,1184, 15086.83
2008-05-26,8439, 107598.34
2008-05-27, 42603, 540501.9
2008-05-28, 50398, 624655.32
2008-05-29, 53243, 652592.75
2008-05-30, 43236, 523915.47
2008-05-31,3635, 44365.03
2008-06-02, 40146, 489279.02
2008-06-03, 36908, 450542.61
2008-06-04, 39937, 486112.98
2008-06-05, 45262, 548385.78
2008-06-06, 47882, 589162.82
2008-06-07,2707, 33942.75
2008-06-09, 47234, 590855.97
2008-06-10, 52169, 639724.11
2008-06-11, 43973, 535511.61
2008-06-12, 48630, 585439.56
2008-06-13, 47014, 567769.28
2008-06-14,1035, 12540.57
2008-06-16, 44882, 550156.49
2008-06-17, 47028, 577356.99
2008-06-18, 44336, 546723.1
2008-06-19, 54790, 682814.33
2008-06-20, 45255, 567649.19
2008-06-21,61, 12045.82
2008-06-23, 52540, 652223.69
2008-06-24, 47797, 591038.81
2008-06-25, 49961, 613378.69
2008-06-26, 57972, 722729.33
2008-06-27, 53695, 684702.57
2008-06-28,1668, 21427.66
2008-06-30, 50825, 655696.57
2008-07-01, 68350, 893411.5
2008-07-02, 58302, 764566.16
2008-07-03, 51070, 671114.9
2008-07-04, 11372, 148109.8
2008-07-05,56, 9862.71
