Date, price
20071228, 10593.96
20071229, 10657.78
20071231, 10648.31
20080101, 10610.66
20080102, 10769.94
20080103, 10928.06
20080104, 10926.55
20080105, 10909.79
20080107, 10887.81
20080108, 11015.99
20080109, 11138.89
20080110, 11115.78
20080111, 11275.03
20080112, 11319.14
20080114, 11427.99
20080115, 11438.59
20080116, 11223.33
20080117, 11201.33
20080118, 11144.73
20080119, 11194.96
20080121, 11091.66
20080122, 11081.27
20080123, 11291.88
20080124, 11417.72
20080125, 11586.09
20080128, 11667.60
20080129, 11735.94
20080130, 11691.31
20080131, 11727.75
20080201, 11698.92
20080202, 11537.90
20080204, 11467.21
20080205, 11382.26
20080206, 11446.72
20080207, 11523.28
20080208, 11636.39
20080209, 11729.09
20080211, 11763.20
20080212, 11690.90
20080213, 11536.42
20080214, 11600.02
20080215, 11607.93
20080216, 11549.70
20080218, 11561.58
20080219, 11752.01
20080220, 11852.57
20080221, 12083.21
20080222, 12070.25
20080223, 12099.23
20080225, 12085.52
20080226, 12003.55
20080227, 12228.88
20080228, 12250.91
20080229, 12371.42
20080301, 12428.21
20080303, 12600.95
20080304, 12583.30
20080305, 12564.60
20080306, 12716.18
20080307, 12702.61
20080308, 12679.10
20080310, 12630.85
20080311, 12685.06
20080312, 12671.10
20080313, 12869.10
20080314, 12940.88
20080315, 13036.28
20080317, 13247.80
20080318, 13103.20
20080319, 12664.32
20080320, 12059.72
20080324, 11961.71
20080325, 12056.23
20080326, 12237.92
20080327, 12273.84
20080328, 12088.58
20080329, 12009.40
20080331, 12047.49
20080401, 11637.07
20080402, 11551.51
20080403, 11663.17
20080404, 11729.72
20080405, 11833.42
20080407, 11902.49
20080408, 11853.35
20080409, 11858.09
20080410, 12032.84
20080411, 11944.33
20080412, 11974.46
20080414, 11979.86
20080415, 12028.76
20080416, 12127.54
20080417, 12197.76
20080418, 11837.68
20080419, 11856.06
20080421, 11870.91
20080422, 11878.78
20080423, 11775.87
20080424, 11655.16
20080425, 11555.68
20080426, 11549.44
20080428, 11608.58
20080429, 11540.22
20080430, 11409.57
20080501, 11253.40
20080502, 11243.52
20080503, 11307.72
20080505, 11400.17
20080506, 11565.44
20080507, 11596.69
20080508, 11759.82
20080509, 11839.29
20080510, 11895.98
20080512, 11929.69
20080513, 11847.46
20080514, 11853.21
20080515, 11989.21
20080516, 12212.73
