Date,NextDayPrice 
20071228, 20301.05
20071231, 20158.11
20080102, 20323.27
20080103, 20393.09
20080104, 20383.02
20080107, 20367.93
20080108, 20637.21
20080109, 20970.07
20080110, 20903.00
20080111, 20930.27
20080114, 20702.93
20080115, 20918.23
20080116, 20836.47
20080117, 20079.89
20080118, 19972.75
20080121, 19579.60
20080122, 18919.57
20080123, 16884.08
20080124, 17520.01
20080125, 17920.98
20080128, 17504.00
20080129, 18011.89
20080130, 18346.49
20080131, 18120.22
20080201, 17810.13
20080204, 17820.66
20080205, 18496.02
20080206, 18592.58
20080207, 18247.02
20080208, 18198.67
20080211, 17610.07
20080212, 17427.33
20080213, 16812.63
20080214, 16816.93
20080215, 17265.18
20080218, 17541.16
20080219, 18228.21
20080220, 18215.25
20080221, 17991.28
20080222, 17825.22
20080225, 17503.03
20080226, 17523.81
20080227, 17799.56
20080228, 17983.41
20080229, 17810.51
20080303, 17779.53
20080304, 17227.56
20080305, 16742.19
20080307, 16328.91
20080310, 16211.95
20080311, 15684.24
20080312, 15778.26
20080313, 16541.14
20080314, 15873.28
20080317, 15467.38
20080318, 15326.92
20080319, 14725.67
20080324, 15325.79
20080325, 15093.76
20080326, 15612.61
20080327, 16270.12
20080328, 15950.29
20080331, 16100.25
20080401, 16226.66
20080402, 15771.71
20080403, 16023.29
20080404, 15805.62
20080407, 15896.08
20080408, 15390.15
20080409, 15770.16
20080410, 15512.70
20080411, 15754.87
20080415, 15840.55
20080416, 15694.41
20080417, 16288.75
20080421, 16456.03
20080422, 16611.41
20080423, 16686.55
20080424, 16823.99
20080425, 16796.25
20080428, 16781.97
20080429, 17251.56
20080430, 17050.86
20080502, 17479.00
20080505, 17560.15
20080506, 17687.00
20080507, 17441.41
20080508, 17404.15
20080509, 17212.60
20080512, 17020.78
20080513, 16641.44
20080514, 17008.02
20080515, 16691.30
20080516, 17084.89
20080520, 17476.41
20080521, 17366.05
20080522, 17065.60
20080523, 17104.58
20080526, 16958.80
20080527, 16468.32
20080528, 16454.75
20080529, 16358.62
20080530, 16666.02
20080602, 16454.02
20080603, 16591.46
20080604, 15851.71
20080605, 15992.90
20080606, 15479.65
20080609, 15914.41
20080610, 15115.96
20080611, 14979.95
20080612, 15018.67
20080613, 14957.53
20080616, 15327.09
20080617, 15400.57
20080618, 15388.36
20080619, 15744.20
20080620, 15250.46
20080623, 15194.73
20080624, 14423.04
20080625, 14290.16
20080626, 13776.20
20080627, 14300.71
20080630, 14127.75
20080701, 13791.01
20080702, 13480.01
20080703, 12948.04
20080704, 13458.29
20080707, 13097.00
20080708, 13561.91
20080709, 13226.04
20080710, 13581.41
20080711, 13851.58
20080714, 14063.45
20080715, 13333.03
20080716, 13067.08
20080717, 12759.75
20080718, 12909.57
20080721, 13234.53
20080722, 13782.12
20080723, 13837.63
20080724, 14568.21
20080725, 15082.37
20080728, 14451.95
20080729, 14267.03
20080730, 14085.53
20080731, 14007.32
20080801, 14359.48
20080804, 14064.25
20080805, 14594.63
20080806, 14562.67
20080807, 15263.65
20080808, 15031.86
20080811, 15036.57
20080812, 15430.30
20080813, 15577.20
20080814, 15030.20
20080818, 15017.67
20080819, 14681.13
20080820, 14517.75
20080821, 14610.57
20080822, 14646.98
20080825, 14153.38
20080826, 14643.37
20080827, 14338.26
20080828, 14563.09
20080829, 14289.96
20080901, 14279.01
20080902, 14412.99
20080904, 14609.44
20080905, 14895.84
20080908, 14569.00
20080909, 15038.05
20080910, 14814.33
20080911, 14717.53
20080912, 14557.33
20080915, 14433.20
20080916, 13592.04
20080917, 13051.73
20080918, 13620.74
20080919, 12712.82
20080922, 13763.83
20080923, 14215.33
20080924, 13721.41
20080925, 13636.70
20080926, 13716.87
20080929, 13486.20
20080930, 13109.95
20081001, 12178.17
20081003, 13006.71
20081006, 12851.46
20081007, 12284.49
20081008, 12068.11
20081010, 11316.24
20081013, 10632.26
20081014, 10817.67
20081015, 11781.42
20081016, 11245.26
20081017, 10221.53
20081020, 10763.33
20081021, 10160.46
20081022, 10428.11
20081023, 10455.23
20081024, 9683.259
20081027, 9497.480
20081029, 8588.860
20081031, 9056.969
20081103, 9361.660
20081104, 10209.37
20081105, 10304.57
20081106, 10931.16
20081107, 9755.030
20081110, 9631.589
20081111, 10154.55
20081112, 10386.45
20081114, 9683.750
20081117, 9784.849
20081118, 9396.929
20081119, 9084.120
20081120, 8970.669
20081121, 8400.879
20081124, 8481.019
20081125, 8840.530
20081126, 9170.280
20081128, 8806.019
20081201, 8889.179
20081202, 9162.940
20081203, 8535.830
20081204, 8851.219
20081205, 8779.019
20081208, 9172.580
20081210, 9276.889
20081211, 9349.530
20081212, 9679.320
20081215, 9370.870
20081216, 9821.849
20081217, 9794.480
20081218, 10073.09
20081219, 9710.200
20081222, 10001.33
20081223, 10102.41
20081224, 9813.200
20081226, 9626.070
20081229, 9655.070
20081230, 9318.860
20081231, 9625.129
20090102, 9806.639
20090105, 9973.059
20090106, 10124.91
20090107, 10241.50
20090109, 10424.95
20090112, 9434.849
20090113, 9306.740
20090114, 9042.360
20090115, 9223.160
20090116, 9000.620
20090119, 9125.650
20090120, 9365.040
20090121, 9159.759
20090122, 8900.780
20090123, 8905.969
20090127, 8804.150
20090128, 8803.070
20090129, 9077.650
20090130, 9340.589
20090202, 9111.120
20090203, 9363.580
20090204, 9128.990
20090205, 9226.200
20090206, 9241.559
20090209, 9161.490
20090210, 9359.000
20090211, 9589.950
20090212, 9462.139
20090213, 9559.030
20090216, 9540.599
20090217, 9637.040
20090218, 9213.400
20090219, 8939.379
20090220, 9034.900
20090224, 8943.780
20090225, 8707.349
20090226, 8913.440
20090227, 8905.559
20090302, 8944.110
20090303, 8762.879
20090304, 8583.059
20090305, 8473.250
20090306, 8535.030
20090309, 8103.750
20090312, 8259.219
20090313, 8274.780
20090316, 8480.740
20090317, 8793.889
20090318, 8942.009
20090319, 8956.299
20090320, 9023.040
20090323, 8951.339
20090324, 9040.299
20090325, 9549.519
20090326, 9442.299
20090327, 9739.929
20090330, 10036.79
20090331, 9902.349
20090401, 9633.209
20090402, 9745.769
20090406, 10107.25
20090408, 10521.78
20090409, 10283.58
20090413, 10876.15
20090415, 10916.42
20090416, 10805.13
20090417, 11358.05
20090420, 11067.70
20090421, 11065.09
20090422, 10765.38
20090423, 10968.59
20090424, 10841.57
20090427, 11149.46
20090428, 11237.41
20090429, 11371.33
20090504, 11091.55
20090505, 11635.24
20090506, 12159.74
20090507, 12100.69
20090508, 12064.50
20090511, 12092.96
20090512, 11997.37
20090513, 11629.96
20090514, 12201.92
20090515, 11774.04
20090518, 11948.70
20090519, 13479.38
20090520, 14757.82
20090521, 14230.73
20090522, 14043.37
20090525, 13663.54
20090526, 13999.44
20090527, 13983.25
20090528, 13851.84
20090529, 14139.13
20090601, 14384.75
20090602, 14790.88
20090603, 14942.20
20090604, 14902.62
20090605, 14755.08
20090608, 15040.24
20090609, 15153.20
20090610, 14618.98
20090611, 15168.17
20090612, 15517.36
20090615, 15446.82
20090616, 15195.83
20090617, 14788.26
20090618, 14978.50
20090619, 14503.04
20090622, 14321.98
20090623, 14591.28
