Date,  SENSEXOpeningPRICE,  GoldPrice, USD/INRPrice
20071228, 20158.11,  10593.96, 39.415
20071231, 20323.27,  10648.31, 39.405
20080102, 20393.09,  10769.94, 39.315
20080103, 20383.02,  10928.06, 39.225
20080104, 20367.93,  10926.55, 39.32
20080107, 20637.21,  10887.81, 39.255
20080108, 20970.07,  11015.99, 39.14
20080109, 20903.0,  11138.89, 39.175
20080110, 20930.27,  11115.78, 39.18
20080111, 20702.93,  11275.03, 39.17
20080114, 20918.23,  11427.99, 39.295
20080115, 20836.47,  11438.59, 39.255
20080116, 20079.89,  11223.33, 39.21
20080117, 19972.75,  11201.33, 39.17
20080118, 19579.6,  11144.73, 39.21
20080121, 18919.57,  11091.66, 39.385
20080122, 16884.08,  11081.27, 39.39
20080123, 17520.01,  11291.88, 39.525
20080124, 17920.98,  11417.72, 39.255
20080125, 17504.0,  11586.09, 39.34
20080128, 18011.89,  11667.60, 39.225
20080129, 18346.49,  11735.94, 39.3
20080130, 18120.22,  11691.31, 39.3
20080131, 17810.13,  11727.75, 39.28
20080201, 17820.66,  11698.92, 39.235
20080204, 18496.02,  11467.21, 39.255
20080205, 18592.58,  11382.26, 39.41
20080206, 18247.02,  11446.72, 39.5
20080207, 18198.67,  11523.28, 39.515
20080208, 17610.07,  11636.39, 39.605
20080211, 17427.33,  11763.20, 39.665
20080212, 16812.63,  11690.90, 39.585
20080213, 16816.93,  11536.42, 39.745
20080214, 17265.18,  11600.02, 39.595
20080215, 17541.16,  11607.93, 39.66
20080218, 18228.21,  11561.58, 39.61
20080219, 18215.25,  11752.01, 39.82
20080220, 17991.28,  11852.57, 40.12
20080221, 17825.22,  12083.21, 39.84
20080222, 17503.03,  12070.25, 40.015
20080225, 17523.81,  12085.52, 39.91
20080226, 17799.56,  12003.55, 39.9
20080227, 17983.41,  12228.88, 39.69
20080228, 17810.51,  12250.91, 39.865
20080229, 17779.53,  12371.42, 39.92
20080303, 17227.56,  12600.95, 40.285
20080304, 16742.19,  12583.30, 40.22
20080305, 16328.91,  12564.60, 40.2
20080307, 16211.95,  12702.61, 40.43
20080310, 15684.24,  12630.85, 40.4
20080311, 15778.26,  12685.06, 40.36
20080312, 16541.14,  12671.10, 40.24
20080313, 15873.28,  12869.10, 40.435
20080314, 15467.38,  12940.88, 40.455
20080317, 15326.92,  13247.80, 40.685
20080318, 14725.67,  13103.20, 40.21
20080319, 15325.79,  12664.32, 40.355
20080324, 15093.76,  11961.71, 40.13
20080325, 15612.61,  12056.23, 40.105
20080326, 16270.12,  12237.92, 40.155
20080327, 15950.29,  12273.84, 40.075
20080328, 16100.25,  12088.58, 39.87
20080331, 16226.66,  12047.49, 40.03
20080401, 15771.71,  11637.07, 39.89
20080402, 16023.29,  11551.51, 39.94
20080403, 15805.62,  11663.17, 39.95
20080404, 15896.08,  11729.72, 39.855
20080407, 15390.15,  11902.49, 39.87
20080408, 15770.16,  11853.35, 40.005
20080409, 15512.7,  11858.09, 39.91
20080410, 15754.87,  12032.84, 39.875
20080411, 15840.55,  11944.33, 39.84
20080415, 15694.41,  12028.76, 39.875
20080416, 16288.75,  12127.54, 39.84
20080417, 16456.03,  12197.76, 39.775
20080421, 16611.41,  11870.91, 39.87
20080422, 16686.55,  11878.78, 39.94
20080423, 16823.99,  11775.87, 39.98
20080424, 16796.25,  11655.16, 40.08
20080425, 16781.97,  11555.68, 40.065
20080428, 17251.56,  11608.58, 40.07
20080429, 17050.86,  11540.22, 40.28
20080430, 17479.0,  11409.57, 40.46
20080502, 17560.15,  11243.52, 40.56
20080505, 17687.0,  11400.17, 40.67
20080506, 17441.41,  11565.44, 40.965
20080507, 17404.15,  11596.69, 41.26
20080508, 17212.6,  11759.82, 41.67
20080509, 17020.78,  11839.29, 41.565
20080512, 16641.44,  11929.69, 42.04
20080513, 17008.02,  11847.46, 42.09
20080514, 16691.3,  11853.21, 42.35
20080515, 17084.89,  11989.21, 42.705
20080516, 17476.41,  12212.73, 42.41
20080520, 17366.05,  12491.94, 42.51
20080521, 17065.6,  12708.57, 42.74
20080522, 17104.58,  12837.68, 42.84
20080523, 16958.8,  12735.56, 42.55
20080526, 16468.32,  12750.12, 42.62
20080527, 16454.75,  12686.94, 42.87
20080528, 16358.62,  12394.44, 42.64
20080529, 16666.02,  12256.87, 42.54
20080530, 16454.02,  12117.57, 42.16
20080602, 16591.46,  12187.49, 42.4
20080603, 15851.71,  12207.18, 42.51
20080604, 15992.9,  12171.99, 42.61
20080605, 15479.65,  12115.80, 42.835
20080606, 15914.41,  12304.47, 42.665
20080609, 15115.96,  12509.12, 42.82
20080610, 14979.95,  12262.53, 42.89
20080611, 15018.67,  12178.19, 42.725
20080612, 14957.53,  12038.65, 42.71
20080613, 15327.09,  12076.60, 42.88
20080616, 15400.57,  12257.84, 42.895
20080617, 15388.36,  12276.87, 42.825
20080618, 15744.2,  12331.35, 42.82
20080619, 15250.46,  12462.38, 42.925
20080620, 15194.73,  12543.34, 42.845
20080623, 14423.04,  12413.85, 42.975
20080624, 14290.16,  12365.60, 42.76
20080625, 13776.2,  12277.14, 42.64
20080626, 14300.71,  12466.86, 42.59
20080627, 14127.75,  12751.70, 42.79
20080630, 13791.01,  12901.06, 42.93
20080701, 13480.01,  13071.12, 43.24
20080702, 12948.04,  13113.89, 43.07
20080703, 13458.29,  13141.07, 43.175
20080704, 13097.0,  13024.07, 43.15
20080707, 13561.91,  12894.34, 43.2
20080708, 13226.04,  12914.38, 43.22
20080709, 13581.41,  12893.83, 43.01
20080710, 13851.58,  13017.69, 42.86
20080711, 14063.45,  13242.56, 42.78
20080714, 13333.03,  13382.70, 42.915
20080715, 13067.08,  13622.11, 43.052
20080716, 12759.75,  13506.15, 43.035
20080717, 12909.57,  13346.62, 42.72
20080718, 13234.53,  13247.68, 42.735
20080721, 13782.12,  13300.44, 42.685
20080722, 13837.63,  13283.72, 42.525
20080723, 14568.21,  12796.61, 42.065
20080724, 15082.37,  12629.37, 42.1
20080725, 14451.95,  12706.92, 42.16
20080728, 14267.03,  12748.11, 42.535
20080729, 14085.53,  12732.24, 42.57
20080730, 14007.32,  12464.93, 42.28
20080731, 14359.48,  12656.75, 42.483000000000004
20080801, 14064.25,  12586.73, 42.27
20080804, 14594.63,  12546.70, 42.39
20080805, 14562.67,  12234.21, 42.175
20080806, 15263.65,  12156.50, 42.0
20080807, 15031.86,  12127.00, 41.99
20080808, 15036.57,  11895.88, 41.98
20080811, 15430.3,  11725.97, 42.08
20080812, 15577.2,  11339.94, 42.28
20080813, 15030.2,  11506.18, 42.56
20080814, 15017.67,  11602.81, 42.92
20080818, 14681.13,  11400.20, 43.495
20080819, 14517.75,  11455.69, 43.52
20080820, 14610.57,  11638.28, 43.635
20080821, 14646.98,  11745.16, 43.4
20080822, 14153.38,  11719.34, 43.33
20080825, 14643.37,  11710.05, 43.69
20080826, 14338.26,  11700.08, 43.765
20080827, 14563.09,  11802.32, 43.65
20080828, 14289.96,  11863.01, 43.72
20080829, 14279.01,  11875.90, 43.87
20080901, 14412.99,  11869.28, 44.175
20080902, 14609.44,  11635.24, 44.365
20080904, 14895.84,  11647.49, 44.345
20080905, 14569.0,  11646.41, 44.665
20080908, 15038.05,  11702.19, 44.51
20080909, 14814.33,  11572.68, 44.74
20080910, 14717.53,  11434.05, 45.065
20080911, 14557.33,  11252.39, 45.575
20080912, 14433.2,  11341.72, 45.71
20080915, 13592.04,  11597.23, 45.635
20080916, 13051.73,  11739.66, 46.835
20080917, 13620.74,  12074.36, 46.34
20080918, 12712.82,  13043.36, 46.37
20080919, 13763.83,  12584.20, 45.81
20080922, 14215.33,  12924.59, 45.46
20080923, 13721.41,  13107.07, 45.615
20080924, 13636.7,  13112.06, 45.85
20080925, 13716.87,  13056.68, 46.07
20080926, 13486.2,  13158.58, 46.52
20080929, 13109.95,  13302.59, 46.5
20080930, 12178.17,  13426.31, 46.815
20081001, 13006.71,  13254.26, 46.48
20081003, 12851.46,  12809.40, 46.8
20081006, 12284.49,  13127.58, 47.79
20081007, 12068.11,  13445.54, 47.91
20081008, 11316.24,  13820.55, 47.86
20081010, 10632.26,  13907.28, 48.365
20081013, 10817.67,  13175.47, 48.11
20081014, 11781.42,  13068.48, 47.94
20081015, 11245.26,  13205.99, 48.38
20081016, 10221.53,  12932.06, 48.69
20081017, 10763.33,  12591.22, 48.715
20081020, 10160.46,  12662.48, 48.73
20081021, 10428.11,  12454.83, 48.85
20081022, 10455.23,  12114.07, 49.315
20081023, 9683.259,  11719.87, 49.68
20081024, 9497.48,  11583.12, 49.77
20081027, 8588.86,  11773.70, 49.785
20081029, 9056.969000000001,  12170.19, 49.38
