Date, Open
20071227, 20301.05
20071228, 20158.11
20071231, 20323.27
20080102, 20393.09
20080103, 20383.02
20080104, 20367.93
20080107, 20637.21
20080108, 20970.07
20080109, 20903.00
20080110, 20930.27
20080111, 20702.93
20080114, 20918.23
20080115, 20836.47
20080116, 20079.89
20080117, 19972.75
20080118, 19579.60
20080121, 18919.57
20080122, 16884.08
20080123, 17520.01
20080124, 17920.98
20080125, 17504.00
20080128, 18011.89
20080129, 18346.49
20080130, 18120.22
20080131, 17810.13
20080201, 17820.66
20080204, 18496.02
20080205, 18592.58
20080206, 18247.02
20080207, 18198.67
20080208, 17610.07
20080211, 17427.33
20080212, 16812.63
20080213, 16816.93
20080214, 17265.18
20080215, 17541.16
20080218, 18228.21
20080219, 18215.25
20080220, 17991.28
20080221, 17825.22
20080222, 17503.03
20080225, 17523.81
20080226, 17799.56
20080227, 17983.41
20080228, 17810.51
20080229, 17779.53
20080303, 17227.56
20080304, 16742.19
20080305, 16328.91
20080307, 16211.95
20080310, 15684.24
20080311, 15778.26
20080312, 16541.14
20080313, 15873.28
20080314, 15467.38
20080317, 15326.92
20080318, 14725.67
20080319, 15325.79
20080324, 15093.76
20080325, 15612.61
20080326, 16270.12
20080327, 15950.29
20080328, 16100.25
20080331, 16226.66
20080401, 15771.71
20080402, 16023.29
20080403, 15805.62
20080404, 15896.08
20080407, 15390.15
20080408, 15770.16
20080409, 15512.70
20080410, 15754.87
20080411, 15840.55
20080415, 15694.41
20080416, 16288.75
20080417, 16456.03
20080421, 16611.41
20080422, 16686.55
20080423, 16823.99
20080424, 16796.25
20080425, 16781.97
20080428, 17251.56
20080429, 17050.86
20080430, 17479.00
20080502, 17560.15
20080505, 17687.00
20080506, 17441.41
20080507, 17404.15
20080508, 17212.60
20080509, 17020.78
20080512, 16641.44
20080513, 17008.02
20080514, 16691.30
20080515, 17084.89
20080516, 17476.41
20080520, 17366.05
20080521, 17065.60
20080522, 17104.58
20080523, 16958.80
20080526, 16468.32
20080527, 16454.75
20080528, 16358.62
20080529, 16666.02
20080530, 16454.02
20080602, 16591.46
20080603, 15851.71
20080604, 15992.90
20080605, 15479.65
20080606, 15914.41
20080609, 15115.96
20080610, 14979.95
20080611, 15018.67
20080612, 14957.53
20080613, 15327.09
20080616, 15400.57
20080617, 15388.36
20080618, 15744.20
20080619, 15250.46
20080620, 15194.73
20080623, 14423.04
20080624, 14290.16
20080625, 13776.20
20080626, 14300.71
20080627, 14127.75
20080630, 13791.01
20080701, 13480.01
20080702, 12948.04
20080703, 13458.29
20080704, 13097.00
20080707, 13561.91
20080708, 13226.04
20080709, 13581.41
20080710, 13851.58
20080711, 14063.45
20080714, 13333.03
20080715, 13067.08
20080716, 12759.75
20080717, 12909.57
20080718, 13234.53
20080721, 13782.12
20080722, 13837.63
20080723, 14568.21
20080724, 15082.37
20080725, 14451.95
20080728, 14267.03
20080729, 14085.53
20080730, 14007.32
20080731, 14359.48
20080801, 14064.25
20080804, 14594.63
20080805, 14562.67
20080806, 15263.65
20080807, 15031.86
20080808, 15036.57
20080811, 15430.30
20080812, 15577.20
20080813, 15030.20
20080814, 15017.67
20080818, 14681.13
20080819, 14517.75
20080820, 14610.57
20080821, 14646.98
20080822, 14153.38
20080825, 14643.37
20080826, 14338.26
20080827, 14563.09
20080828, 14289.96
20080829, 14279.01
20080901, 14412.99
20080902, 14609.44
20080904, 14895.84
20080905, 14569.00
20080908, 15038.05
20080909, 14814.33
20080910, 14717.53
20080911, 14557.33
20080912, 14433.20
20080915, 13592.04
20080916, 13051.73
20080917, 13620.74
20080918, 12712.82
20080919, 13763.83
20080922, 14215.33
20080923, 13721.41
20080924, 13636.70
20080925, 13716.87
20080926, 13486.20
20080929, 13109.95
20080930, 12178.17
20081001, 13006.71
20081003, 12851.46
20081006, 12284.49
20081007, 12068.11
20081008, 11316.24
20081010, 10632.26
20081013, 10817.67
20081014, 11781.42
20081015, 11245.26
20081016, 10221.53
20081017, 10763.33
20081020, 10160.46
20081021, 10428.11
20081022, 10455.23
20081023, 9683.259
20081024, 9497.480
20081027, 8588.860
20081029, 9056.969
20081031, 9361.660
20081103, 10209.37
20081104, 10304.57
20081105, 10931.16
20081106, 9755.030
20081107, 9631.589
20081110, 10154.55
20081111, 10386.45
20081112, 9683.750
20081114, 9784.849
20081117, 9396.929
20081118, 9084.120
20081119, 8970.669
20081120, 8400.879
20081121, 8481.019
20081124, 8840.530
20081125, 9170.280
20081126, 8806.019
20081128, 8889.179
20081201, 9162.940
20081202, 8535.830
20081203, 8851.219
20081204, 8779.019
20081205, 9172.580
20081208, 9276.889
20081210, 9349.530
20081211, 9679.320
20081212, 9370.870
20081215, 9821.849
20081216, 9794.480
20081217, 10073.09
20081218, 9710.200
20081219, 10001.33
20081222, 10102.41
20081223, 9813.200
20081224, 9626.070
20081226, 9655.070
20081229, 9318.860
20081230, 9625.129
20081231, 9806.639
20090102, 9973.059
20090105, 10124.91
20090106, 10241.50
20090107, 10424.95
20090109, 9434.849
20090112, 9306.740
20090113, 9042.360
20090114, 9223.160
20090115, 9000.620
20090116, 9125.650
20090119, 9365.040
20090120, 9159.759
20090121, 8900.780
20090122, 8905.969
20090123, 8804.150
20090127, 8803.070
20090128, 9077.650
20090129, 9340.589
20090130, 9111.120
20090202, 9363.580
20090203, 9128.990
20090204, 9226.200
20090205, 9241.559
20090206, 9161.490
20090209, 9359.000
20090210, 9589.950
20090211, 9462.139
20090212, 9559.030
20090213, 9540.599
20090216, 9637.040
20090217, 9213.400
20090218, 8939.379
20090219, 9034.900
20090220, 8943.780
20090224, 8707.349
20090225, 8913.440
20090226, 8905.559
20090227, 8944.110
20090302, 8762.879
20090303, 8583.059
20090304, 8473.250
20090305, 8535.030
20090306, 8103.750
20090309, 8259.219
20090312, 8274.780
20090313, 8480.740
20090316, 8793.889
20090317, 8942.009
20090318, 8956.299
20090319, 9023.040
20090320, 8951.339
20090323, 9040.299
20090324, 9549.519
20090325, 9442.299
20090326, 9739.929
20090327, 10036.79
20090330, 9902.349
20090331, 9633.209
20090401, 9745.769
20090402, 10107.25
20090406, 10521.78
20090408, 10283.58
20090409, 10876.15
20090413, 10916.42
20090415, 10805.13
20090416, 11358.05
20090417, 11067.70
20090420, 11065.09
20090421, 10765.38
20090422, 10968.59
20090423, 10841.57
20090424, 11149.46
20090427, 11237.41
20090428, 11371.33
20090429, 11091.55
20090504, 11635.24
20090505, 12159.74
20090506, 12100.69
20090507, 12064.50
20090508, 12092.96
20090511, 11997.37
20090512, 11629.96
20090513, 12201.92
20090514, 11774.04
20090515, 11948.70
20090518, 13479.38
20090519, 14757.82
20090520, 14230.73
20090521, 14043.37
20090522, 13663.54
20090525, 13999.44
20090526, 13983.25
20090527, 13851.84
20090528, 14139.13
20090529, 14384.75
20090601, 14790.88
20090602, 14942.20
20090603, 14902.62
20090604, 14755.08
20090605, 15040.24
20090608, 15153.20
20090609, 14618.98
20090610, 15168.17
20090611, 15517.36
20090612, 15446.82
20090615, 15195.83
20090616, 14788.26
20090617, 14978.50
20090618, 14503.04
20090619, 14321.98
20090622, 14591.28
20090623, 14147.87
20090624, 14388.20
20090625, 14476.15
20090626, 14373.57
20090629, 14764.63
20090630, 14785.74
20090701, 14493.83
20090702, 14694.30
20090703, 14552.71
20090706, 14962.12
20090707, 14103.65
20090708, 14039.58
20090709, 13796.19
20090710, 13803.12
20090713, 13405.95
20090714, 13549.41
20090715, 13917.26
20090716, 14351.96
20090717, 14325.58
20090720, 14854.16
20090721, 15218.83
20090722, 15124.91
20090723, 15008.78
20090724, 15272.00
20090727, 15350.88
20090728, 15428.50
20090729, 15293.19
20090730, 15169.23
20090731, 15449.46
20090803, 15694.78
20090804, 15940.09
20090805, 15882.38
20090806, 15881.46
20090807, 15440.95
20090810, 15287.13
20090811, 15000.37
20090812, 14953.44
20090813, 15207.95
20090814, 15530.37
20090817, 15284.23
20090818, 14745.79
20090819, 15079.04
20090820, 14930.04
20090821, 14951.49
20090824, 15362.92
20090825, 15573.91
20090826, 15763.08
20090827, 15711.79
20090828, 15770.19
20090831, 15812.15
20090901, 15691.26
20090902, 15482.04
20090903, 15539.33
20090904, 15425.86
20090907, 15793.26
20090908, 16030.55
20090909, 16111.08
20090910, 16295.91
20090911, 16254.57
20090914, 16185.25
20090915, 16255.41
20090916, 16498.58
20090917, 16686.38
20090918, 16650.05
20090922, 16805.22
20090923, 16905.50
20090924, 16634.08
20090925, 16679.99
20090929, 16829.10
20090930, 16868.46
20091001, 17186.19
20091005, 17062.00
20091006, 16879.38
20091007, 17069.41
20091008, 16908.01
20091009, 16915.96
20091012, 16687.32
20091014, 17117.90
20091015, 17274.07
20091016, 17196.80
20091020, 17414.80
20091021, 17229.72
20091022, 17031.53
20091023, 16795.66
20091026, 16808.05
20091027, 16699.08
20091028, 16335.78
20091029, 16191.38
20091030, 16135.87
20091103, 15838.62
20091104, 15487.96
20091105, 15926.12
20091106, 16137.41
