Date,Price
20071128, 39.570
20071129, 39.630
20071130, 39.520
20071203, 39.400
20071204, 39.320
20071205, 39.325
20071206, 39.415
20071207, 39.320
20071210, 39.310
20071211, 39.320
20071212, 39.315
20071213, 39.395
20071214, 39.315
20071217, 39.545
20071218, 39.490
20071219, 39.575
20071220, 39.495
20071221, 39.350
20071224, 39.395
20071225, 39.395
20071226, 39.405
20071227, 39.425
20071228, 39.415
20071231, 39.405
20080101, 39.415
20080102, 39.315
20080103, 39.225
20080104, 39.320
20080107, 39.255
20080108, 39.140
20080109, 39.175
20080110, 39.180
20080111, 39.170
20080114, 39.295
20080115, 39.255
20080116, 39.210
20080117, 39.170
20080118, 39.210
20080121, 39.385
20080122, 39.390
20080123, 39.525
20080124, 39.255
20080125, 39.340
20080128, 39.225
20080129, 39.300
20080130, 39.300
20080131, 39.280
20080201, 39.235
20080204, 39.255
20080205, 39.410
20080206, 39.500
20080207, 39.515
20080208, 39.605
20080211, 39.665
20080212, 39.585
20080213, 39.745
20080214, 39.595
20080215, 39.660
20080218, 39.610
20080219, 39.820
20080220, 40.120
20080221, 39.840
20080222, 40.015
20080225, 39.910
20080226, 39.900
20080227, 39.690
20080228, 39.865
20080229, 39.920
20080303, 40.285
20080304, 40.220
20080305, 40.200
20080306, 40.140
20080307, 40.430
20080310, 40.400
20080311, 40.360
20080312, 40.240
20080313, 40.435
20080314, 40.455
20080317, 40.685
20080318, 40.210
20080319, 40.355
20080320, 40.260
20080321, 39.870
20080324, 40.130
20080325, 40.105
20080326, 40.155
20080327, 40.075
20080328, 39.870
20080331, 40.030
20080401, 39.890
20080402, 39.940
20080403, 39.950
20080404, 39.855
20080407, 39.870
20080408, 40.005
20080409, 39.910
20080410, 39.875
20080411, 39.840
20080414, 39.865
20080415, 39.875
20080416, 39.840
20080417, 39.775
20080418, 39.755
20080421, 39.870
20080422, 39.940
20080423, 39.980
20080424, 40.080
20080425, 40.065
20080428, 40.070
20080429, 40.280
20080430, 40.460
20080501, 40.460
20080502, 40.560
20080505, 40.670
20080506, 40.965
20080507, 41.260
20080508, 41.670
20080509, 41.565
20080512, 42.040
20080513, 42.090
20080514, 42.350
20080515, 42.705
20080516, 42.410
20080519, 42.390
20080520, 42.510
20080521, 42.740
20080522, 42.840
20080523, 42.550
20080526, 42.620
20080527, 42.870
20080528, 42.640
20080529, 42.540
20080530, 42.160
20080602, 42.400
20080603, 42.510
20080604, 42.610
20080605, 42.835
20080606, 42.665
20080609, 42.820
20080610, 42.890
20080611, 42.725
20080612, 42.710
20080613, 42.880
20080616, 42.895
20080617, 42.825
20080618, 42.820
20080619, 42.925
